tedarikci id,kalite,hatali_urun,fiyat,hiz,guvenilir_hizmet,belge,talep,stok,gecmis_donem,kapasite,tavsiye
101,iyi,orta,orta,orta,kotu,kotu,cok kotu,cok kotu,kotu,kotu,Hayir
102,iyi,orta,iyi,orta,cok iyi,iyi,cok iyi,cok iyi,iyi,iyi,Evet
103,orta,iyi,orta,iyi,orta,orta,orta,iyi,orta,iyi,Hayir
104,orta,iyi,orta,cok iyi,iyi,orta,kotu,orta,iyi,iyi,Evet
105,orta,iyi,orta,iyi,kotu,orta,kotu,kotu,kotu,orta,Hayir
106,orta,iyi,orta,iyi,orta,kotu,iyi,orta,iyi,orta,Evet
107,orta,iyi,orta,kotu,orta,kotu,orta,iyi,iyi,iyi,Evet
108,orta,iyi,iyi,iyi,iyi,orta,iyi,iyi,orta,iyi,Evet
109,orta,iyi,orta,iyi,orta,orta,iyi,orta,orta,iyi,Evet
110,orta,orta,orta,iyi,iyi,iyi,orta,orta,iyi,orta,Evet
111,orta,orta,orta,iyi,iyi,iyi,orta,orta,iyi,orta,Hayir
112,iyi,orta,iyi,orta,orta,orta,iyi,orta,iyi,orta,Evet
113,orta,iyi,orta,iyi,orta,iyi,orta,iyi,orta,iyi,Hayir
114,kotu,orta,kotu,orta,iyi,orta,orta,orta,kotu,iyi,Hayir
115,kotu,orta,orta,kotu,iyi,iyi,orta,orta,kotu,kotu,Hayir
116,orta,orta,orta,iyi,orta,iyi,orta,cok iyi,iyi,iyi,Evet
117,cok iyi,iyi,iyi,cok iyi,iyi,cok iyi,iyi,cok iyi,iyi,iyi,Evet
118,cok iyi,iyi,iyi,cok iyi,iyi,cok iyi,iyi,cok iyi,iyi,iyi,Evet
119,iyi,orta,iyi,iyi,iyi,iyi,cok iyi,iyi,iyi,cok iyi,Evet
120,iyi,iyi,orta,iyi,iyi,orta,cok iyi,cok iyi,iyi,cok iyi,Evet
121,orta,iyi,orta,iyi,iyi,orta,iyi,iyi,iyi,iyi,Evet
122,orta,kotu,orta,orta,orta,kotu,orta,orta,kotu,orta,Hayir
123,iyi,orta,orta,iyi,iyi,orta,iyi,cok iyi,iyi,cok iyi,Evet
124,cok iyi,iyi,orta,iyi,iyi,orta,iyi,cok iyi,iyi,cok iyi,Evet
125,iyi,cok iyi,orta,iyi,iyi,kotu,iyi,cok iyi,iyi,cok iyi,Evet
126,iyi,iyi,orta,iyi,iyi,orta,iyi,orta,iyi,orta,Evet
127,orta,orta,iyi,iyi,iyi,kotu,iyi,iyi,iyi,cok iyi,Evet
128,orta,kotu,orta,orta,orta,cok kotu,orta,kotu,kotu,orta,Hayir
129,iyi,orta,orta,orta,orta,cok kotu,orta,iyi,kotu,iyi,Hayir
130,cok iyi,iyi,orta,iyi,iyi,orta,orta,kotu,orta,kotu,Evet
131,iyi,iyi,iyi,iyi,cok iyi,orta,iyi,iyi,iyi,iyi,Evet
132,kotu,kotu,kotu,kotu,kotu,cok kotu,kotu,orta,kotu,kotu,Hayir
133,cok iyi,iyi,orta,iyi,iyi,orta,iyi,iyi,cok iyi,iyi,Evet
134,iyi,iyi,orta,cok iyi,iyi,orta,iyi,cok iyi,iyi,cok iyi,Evet
135,orta,iyi,iyi,iyi,iyi,orta,iyi,cok iyi,iyi,cok iyi,Evet
136,orta,iyi,orta,iyi,iyi,kotu,iyi,iyi,iyi,iyi,Evet
137,kotu,iyi,orta,iyi,orta,kotu,orta,iyi,orta,iyi,Evet
138,kotu,orta,orta,orta,orta,cok kotu,kotu,kotu,orta,orta,Hayir
139,iyi,orta,iyi,cok iyi,iyi,cok iyi,iyi,cok iyi,iyi,cok iyi,Evet
140,orta,kotu,iyi,iyi,orta,orta,iyi,iyi,orta,iyi,Evet
141,cok iyi,iyi,iyi,cok iyi,cok iyi,cok iyi,cok iyi,cok iyi,cok iyi,cok iyi,Evet
142,kotu,cok kotu,orta,orta,kotu,kotu,kotu,orta,kotu,orta,Hayir
143,orta,orta,kotu,iyi,iyi,iyi,orta,iyi,orta,iyi,Evet
144,iyi,cok iyi,orta,iyi,cok iyi,cok iyi,iyi,iyi,cok iyi,iyi,Evet
145,cok iyi,orta,iyi,cok iyi,cok iyi,cok iyi,iyi,cok iyi,cok iyi,cok iyi,Evet
146,orta,kotu,orta,iyi,kotu,kotu,iyi,orta,kotu,iyi,Hayir
147,iyi,iyi,cok iyi,iyi,cok iyi,iyi,iyi,iyi,cok iyi,iyi,Evet
148,kotu,cok kotu,orta,orta,kotu,kotu,orta,kotu,kotu,orta,Hayir
149,iyi,iyi,kotu,cok iyi,iyi,cok iyi,iyi,cok iyi,iyi,cok iyi,Evet
150,orta,kotu,iyi,orta,orta,iyi,iyi,cok iyi,orta,iyi,Evet
151,cok iyi,cok iyi,iyi,iyi,cok iyi,cok iyi,iyi,iyi,cok iyi,cok iyi,Evet
152,iyi,kotu,orta,cok iyi,iyi,iyi,cok iyi,iyi,iyi,orta,Evet
153,kotu,cok kotu,kotu,orta,kotu,kotu,kotu,orta,kotu,kotu,Hayir
154,orta,iyi,iyi,iyi,iyi,cok iyi,iyi,iyi,iyi,orta,Evet
155,cok iyi,cok iyi,iyi,cok iyi,cok iyi,cok iyi,cok iyi,cok iyi,cok iyi,cok iyi,Evet
156,kotu,cok kotu,kotu,orta,kotu,kotu,kotu,kotu,kotu,orta,Hayir
157,iyi,iyi,cok iyi,iyi,iyi,cok iyi,iyi,cok iyi,iyi,cok iyi,Evet
158,orta,orta,orta,iyi,iyi,orta,iyi,iyi,orta,iyi,Evet
159,iyi,cok iyi,iyi,cok iyi,cok iyi,cok iyi,iyi,iyi,cok iyi,cok iyi,Evet
160,cok iyi,iyi,iyi,cok iyi,cok iyi,cok iyi,iyi,cok iyi,cok iyi,cok iyi,Evet
161,orta,kotu,kotu,iyi,kotu,kotu,iyi,orta,kotu,iyi,Hayir
162,iyi,iyi,cok iyi,iyi,cok iyi,iyi,iyi,iyi,cok iyi,iyi,Evet
163,kotu,cok kotu,orta,orta,kotu,kotu,orta,kotu,kotu,orta,Hayir
164,iyi,iyi,kotu,cok iyi,iyi,cok iyi,iyi,cok iyi,iyi,cok iyi,Evet
165,orta,kotu,iyi,orta,orta,iyi,iyi,cok iyi,orta,iyi,Evet
166,cok iyi,cok iyi,iyi,iyi,cok iyi,cok iyi,iyi,iyi,cok iyi,cok iyi,Evet
167,iyi,kotu,orta,cok iyi,iyi,iyi,cok iyi,iyi,iyi,orta,Evet
168,kotu,cok kotu,kotu,orta,kotu,kotu,kotu,orta,kotu,kotu,Hayir
169,orta,iyi,iyi,iyi,iyi,cok iyi,iyi,iyi,iyi,orta,Evet
